Date,Product,Category,Region,Sales,Cost
2024-07-08,Office Chair,Furniture,East,932.88,531.82
2024-05-03,Microwave,Kitchen,North,353.05,193.93
2024-05-29,Gaming Console,Electronics,East,1931.04,1085.81
2024-04-15,Samsung TV,Electronics,North,357.35,252.22
2024-07-23,iPhone 13,Electronics,South,1680.05,1005.24
2024-12-30,Office Chair,Furniture,West,1051.25,739.19
2024-12-28,iPhone 13,Electronics,West,1716.47,1144.52
2024-05-03,Samsung TV,Electronics,South,286.83,148.72
2024-03-30,Blender,Kitchen,West,775.87,534.64
2024-10-22,Sofa,Furniture,North,92.51,48.04
2024-09-06,Air Fryer,Kitchen,North,1814.9,1359.01
2024-04-14,Jeans,Apparel,North,377.58,253.8
2024-11-08,iPhone 13,Electronics,West,1382.27,762.79
2024-11-30,Sofa,Furniture,West,1772.68,904.77
2024-03-18,Sofa,Furniture,West,853.38,567.67
2024-10-22,Air Fryer,Kitchen,West,438.94,335.96
2024-12-10,Gaming Console,Electronics,North,1979.34,1453.97
2024-04-25,Jeans,Apparel,East,1829.72,1190.63
2024-10-17,Office Chair,Furniture,South,107.14,79.63
